gene,disease,human_uid,match_uid,match_species,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc,h_falpha,m_falpha
IL1R1,Chronic recurrent multifocal osteomyelitis 3,P14778,P14719,mouse,97,0.9281,0.9253,565,563,70.0,88.0,0.29,0.29
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,Q18253,worm,97,0.9294,0.9347,807,825,99.0,112.0,0.26,0.28
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,Q6DEF6,zebrafish,97,0.9286,0.9255,272,272,72.0,86.0,0.27,0.29
CD19,"Immunodeficiency, common variable, 3",P15391,P25918,mouse,97,0.9186,0.918,552,543,59.0,66.0,0.15,0.13
TSHB,"Hypothyroidism, congenital, non-goitrous, 4",P01222,Q9VJS7,fly,97,0.9304,0.9278,134,137,66.0,48.0,0.25,0.23
CSF2RA,Pulmonary surfactant metabolism dysfunction 4,P15509,Q8VHK6,rat,97,0.9137,0.916,396,381,66.0,71.0,0.18,0.18
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,P92996,arabidopsis,97,0.9213,0.9143,212,218,56.0,54.0,0.25,0.27
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,P92997,arabidopsis,97,0.9213,0.9209,212,218,56.0,58.0,0.25,0.26
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,P94014,arabidopsis,97,0.9213,0.9219,212,215,56.0,56.0,0.25,0.27
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,P48801,chicken,97,0.9213,0.9189,212,216,56.0,75.0,0.25,0.25
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,P48032,rat,97,0.9213,0.9143,212,207,56.0,65.0,0.25,0.28
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q6YZA1,rice,97,0.9213,0.9281,212,220,56.0,63.0,0.25,0.25
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q6YZZ7,rice,97,0.9213,0.9217,212,221,56.0,71.0,0.25,0.27
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q6YZZ2,rice,97,0.9213,0.9124,212,221,56.0,50.0,0.25,0.27
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q7G959,arabidopsis,97,0.9242,0.9212,573,549,70.0,97.0,0.26,0.27
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q8H8C7,rice,97,0.9135,0.9179,356,352,43.0,55.0,0.3,0.26
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,O42951,fission_yeast,97,0.9214,0.9262,229,227,52.0,73.0,0.28,0.3
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q6YZZ7,rice,97,0.9214,0.9217,229,221,52.0,71.0,0.28,0.27
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q60819,mouse,97,0.9288,0.9248,247,259,49.0,60.0,0.19,0.18
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q90952,chicken,97,0.9267,0.9342,336,350,47.0,49.0,0.24,0.24
EMD,"Emery-Dreifuss muscular dystrophy 1, X-linked",P50402,A6QNY1,cow,97,0.9307,0.9364,250,251,42.0,52.0,0.24,0.25
PPIB,Osteogenesis imperfecta 9,P23284,P36054,yeast,97,0.926,0.9254,212,207,45.0,59.0,0.32,0.3
ASIP,Obesity and hypopigmentation,P42127,Q6ZYM3,pig,97,0.9352,0.9442,128,127,35.0,38.0,0.2,0.21
SOBP,"Impaired intellectual development, anterior maxillary protrusion, and strabismus",A7XYQ1,Q653U3,rice,95,0.9315,0.9261,869,913,441.0,380.0,0.12,0.17
TNIK,"Intellectual developmental disorder, autosomal recessive 54",Q9UKE5,F4K1J4,arabidopsis,95,0.9179,0.9131,1356,1419,292.0,326.0,0.3,0.27
MEGF10,"Congenital myopathy 10A, severe variant; Congenital myopathy 10B, mild variant",Q96KG7,Q6DIB5,mouse,95,0.9533,0.9449,1136,1143,282.0,168.0,0.12,0.12
SYCP2,Spermatogenic failure 1,Q9BX26,O70608,rat,95,0.9163,0.9178,1526,1501,304.0,161.0,0.28,0.28
EGF,Hypomagnesemia 4,P01133,Q00968,pig,95,0.9624,0.945,1203,1210,291.0,314.0,0.14,0.15
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q5DRA2,chimp,95,0.9236,0.9345,934,940,262.0,210.0,0.18,0.16
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q5DRF1,chimp,95,0.9236,0.9317,934,946,262.0,187.0,0.18,0.15
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q7TSF0,mouse,95,0.9236,0.926,934,907,262.0,162.0,0.18,0.17
CRB2,Focal segmental glomerulosclerosis 9; Retinitis pigmentosa; Ventriculomegaly with cystic kidney disease,Q5IJ48,A2AJA7,mouse,95,0.9315,0.9329,1281,1224,340.0,370.0,0.12,0.14
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q9CAH1,arabidopsis,95,0.9393,0.9305,440,446,242.0,228.0,0.36,0.4
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q01159,yeast,95,0.9393,0.9351,440,455,242.0,210.0,0.36,0.36
DBT,Maple syrup urine disease 2,P11182,Q58DJ0,cow,95,0.9341,0.9349,478,495,249.0,197.0,0.29,0.3
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,A2RTF1,mouse,95,0.9417,0.9377,1155,1105,183.0,337.0,0.23,0.23
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,Q3V1H3,mouse,95,0.9417,0.9315,1155,1155,183.0,251.0,0.23,0.23
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,Q62469,mouse,95,0.9417,0.9375,1155,1174,183.0,286.0,0.23,0.23
GOT2,Developmental and epileptic encephalopathy 82,P00505,P00508,chicken,95,0.9157,0.9052,426,419,213.0,183.0,0.5,0.5
GOT2,Developmental and epileptic encephalopathy 82,P00505,P12344,cow,95,0.9157,0.9048,426,426,213.0,192.0,0.5,0.5
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q3UX10,mouse,95,0.9157,0.9229,426,442,213.0,221.0,0.5,0.52
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q80XU8,mouse,95,0.9363,0.9357,648,632,202.0,102.0,0.16,0.18
SASH3,Immunodeficiency 102,O75995,Q9FGF8,arabidopsis,95,0.9403,0.948,376,387,220.0,207.0,0.18,0.23
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,Q0V8T8,mouse,95,0.9147,0.9162,1380,1288,179.0,240.0,0.17,0.16
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,Q0V8T9,mouse,95,0.9147,0.9238,1380,1300,179.0,202.0,0.17,0.17
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,Q0V8T4,rat,95,0.9147,0.9234,1380,1303,179.0,193.0,0.17,0.17
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,Q0V8T3,rat,95,0.9147,0.921,1380,1301,179.0,169.0,0.17,0.16
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,P79995,chicken,95,0.9529,0.9413,792,785,203.0,176.0,0.19,0.2
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,Q8QGH3,chicken,95,0.9529,0.9524,792,794,203.0,338.0,0.19,0.2
