uid,gini,k_mean,k_max,top1_res,top1_k2,concentration_ratio,hotspot_fraction,n,f_alpha,f_beta
P54728,0.9393,137.2,36369.0,375,36369.0,265.0802,0.6434,412,0.38,0.44
Q91VF5,0.9293,158.5,41746.2,153,41746.2,263.383,0.5986,440,0.13,0.62
Q5U462,0.9573,92.2,24172.7,680,24172.7,262.1768,0.3163,829,0.16,0.72
Q66L42,0.9248,70.6,18507.5,199,18507.5,262.1459,0.2801,936,0.28,0.5
Q6ZPJ0,0.9282,40.0,10423.5,499,10423.5,260.5875,0.2318,1124,0.23,0.52
Q8CE90,0.9333,104.9,27324.4,14,27324.4,260.4805,0.4905,531,0.37,0.42
Q62313,0.9817,180.5,46470.7,10,46470.7,257.4554,0.7377,349,0.14,0.38
Q9CSB4,0.9392,33.1,8467.0,273,8467.0,255.8006,0.2133,1199,0.17,0.52
P15307,0.9357,28.4,7254.8,298,7254.8,255.4507,0.4382,583,0.11,0.68
O70306,0.9228,20.0,5107.2,23,5107.2,255.36,0.427,598,0.14,0.6
Q8VCS3,0.9575,238.0,60116.0,9,60116.0,252.5882,0.6237,405,0.49,0.38
Q05910,0.9363,73.0,18379.2,666,18379.2,251.7699,0.3063,822,0.24,0.6
Q6PFC5,0.9507,111.7,28093.3,471,28093.3,251.5067,0.4615,545,0.23,0.59
Q3UZ39,0.9437,94.2,23688.0,37,23688.0,251.465,0.3468,725,0.23,0.51
Q3V1H3,0.9315,43.0,10778.5,1122,10778.5,250.6628,0.217,1155,0.23,0.6
P59222,0.9507,27.4,6834.8,446,6834.8,249.4453,0.3009,829,0.11,0.59
P0AES0,0.949,83.1,20638.2,279,20638.2,248.3538,0.4038,615,0.35,0.49
Q02496,0.9518,64.6,16036.5,556,16036.5,248.243,0.3966,626,0.16,0.56
Q810C0,0.9371,35.6,8760.8,623,8760.8,246.0899,0.2923,842,0.21,0.52
Q91ZE0,0.9429,87.1,21337.2,178,21337.2,244.9736,0.5875,417,0.33,0.53
Q9WV93,0.9724,402.4,98449.9,52,98449.9,244.6568,0.8293,295,0.37,0.42
Q91ZV3,0.9588,65.6,16048.4,532,16048.4,244.6402,0.3198,765,0.15,0.63
Q9CXD9,0.9383,23.4,5704.7,178,5704.7,243.7906,0.5553,439,0.23,0.54
Q7TQC5,0.9683,121.9,28829.4,334,28829.4,236.5004,0.6997,338,0.3,0.55
Q8VHR0,0.9206,24.3,5745.2,714,5745.2,236.428,0.2092,1130,0.15,0.62
P39428,0.9554,455.5,107343.1,205,107343.1,235.6599,0.5819,405,0.41,0.44
Q8K4K3,0.9505,80.2,18874.7,237,18874.7,235.3454,0.6942,339,0.37,0.47
Q8BMB0,0.9374,30.2,7092.6,67,7092.6,234.8543,0.1864,1260,0.09,0.57
Q91VX2,0.9297,13.2,3091.2,70,3091.2,234.1818,0.2076,1128,0.06,0.48
Q9R0N8,0.9763,307.2,70903.8,74,70903.8,230.8066,0.4552,507,0.25,0.57
Q9QZC8,0.9384,184.4,42330.1,26,42330.1,229.5559,0.5626,408,0.5,0.37
Q9Z138,0.9496,76.8,17505.4,420,17505.4,227.9349,0.2425,940,0.28,0.53
Q8VHK1,0.9216,40.7,9266.5,867,9266.5,227.6781,0.1902,1197,0.27,0.43
P13033,0.9336,100.5,22803.7,258,22803.7,226.9025,0.5468,415,0.45,0.42
Q8JZQ9,0.9244,47.7,10782.0,706,10782.0,226.0377,0.2829,799,0.23,0.57
P77390,0.9401,207.2,46710.8,21,46710.8,225.4382,0.6478,348,0.49,0.38
Q6P9S7,0.9598,109.5,24478.4,15,24478.4,223.547,0.3732,599,0.35,0.47
W8DXL4,0.9294,43.3,9678.9,7,9678.9,223.5312,0.3302,677,0.2,0.59
Q8JZM4,0.9371,38.0,8459.4,651,8459.4,222.6158,0.3037,733,0.17,0.6
Q8K2D3,0.9243,61.3,13613.1,308,13613.1,222.0734,0.4406,504,0.28,0.48
Q3UUF8,0.926,38.2,8469.1,355,8469.1,221.7042,0.4399,504,0.21,0.5
Q9D416,0.938,184.5,40855.7,247,40855.7,221.4401,0.6017,368,0.36,0.48
Q3UX10,0.9229,114.6,25310.1,431,25310.1,220.856,0.4997,442,0.52,0.36
Q9WTQ5,0.9255,12.0,2640.1,1506,2640.1,220.0083,0.131,1680,0.07,0.41
Q8BH04,0.9334,64.9,14249.7,607,14249.7,219.5639,0.3452,636,0.34,0.48
P23336,0.9499,136.7,29984.5,44,29984.5,219.3453,0.5624,390,0.41,0.44
E9PZZ1,0.9797,138.8,30334.4,546,30334.4,218.5476,0.2914,750,0.16,0.58
Q8BKI2,0.9302,17.6,3842.2,1264,3842.2,218.3068,0.1209,1806,0.08,0.5
Q8K088,0.9292,95.4,20802.7,397,20802.7,218.0577,0.5204,419,0.34,0.44
Q9JLQ0,0.9408,45.9,9951.9,627,9951.9,216.817,0.3425,633,0.15,0.59
Q8BR37,0.9411,39.8,8604.7,20,8604.7,216.1985,0.5446,397,0.23,0.6
Q80YA8,0.9203,18.6,4014.0,1243,4014.0,215.8065,0.1689,1278,0.12,0.63
P20917,0.9231,47.1,10140.2,524,10140.2,215.2909,0.3456,623,0.14,0.7
Q80XS7,0.9218,74.4,15903.8,282,15903.8,213.7608,0.4481,477,0.25,0.52
Q6DYE8,0.9368,70.5,15061.6,587,15061.6,213.6397,0.2456,870,0.39,0.46
Q69ZQ1,0.9355,64.6,13797.7,450,13797.7,213.5867,0.3,712,0.33,0.5
Q7TPM1,0.9426,26.7,5557.6,502,5557.6,208.1498,0.1405,1482,0.09,0.52
P70408,0.9299,32.8,6769.9,627,6769.9,206.3994,0.2633,784,0.2,0.64
P55288,0.9546,57.5,11866.2,633,11866.2,206.3687,0.2606,792,0.2,0.64
Q80SY4,0.9291,63.5,13082.9,438,13082.9,206.0299,0.2056,1002,0.37,0.41
Q9WTP5,0.9278,40.1,8216.8,637,8216.8,204.9077,0.2533,809,0.19,0.63
Q8R2W9,0.9265,127.0,25978.1,96,25978.1,204.552,0.5589,366,0.48,0.39
Q9ESL0,0.9222,27.7,5665.7,122,5665.7,204.5379,0.3964,516,0.29,0.54
Q3V0C3,0.9292,87.4,17843.4,303,17843.4,204.1579,0.2801,729,0.24,0.48
P10810,0.9534,67.0,13650.6,240,13650.6,203.7403,0.5628,362,0.27,0.5
Q64467,0.9842,1689.0,341562.5,64,341562.5,202.2276,0.4638,436,0.31,0.58
Q9Z0M3,0.9224,35.7,7214.0,630,7214.0,202.0728,0.2535,797,0.19,0.65
Q0V8T9,0.9238,34.1,6879.9,1253,6879.9,201.7566,0.1552,1300,0.17,0.65
Q99NF2,0.9247,139.4,28119.4,22,28119.4,201.7174,0.382,528,0.36,0.4
Q9DBH5,0.9462,89.4,17982.3,305,17982.3,201.1443,0.5682,354,0.19,0.63
Q46939,0.9419,140.8,28274.7,180,28274.7,200.8146,0.5162,389,0.47,0.4
Q3UQS8,0.9301,26.1,5238.2,1146,5238.2,200.6973,0.1679,1195,0.14,0.49
Q99J39,0.9228,207.1,41307.4,40,41307.4,199.4563,0.4087,488,0.6,0.31
Q9QZ06,0.953,196.8,39056.9,40,39056.9,198.4599,0.735,270,0.26,0.62
Q9ESJ7,0.9643,486.7,94561.5,98,94561.5,194.2911,0.7619,255,0.3,0.56
Q9JL19,0.9446,15.9,3087.6,275,3087.6,194.1887,0.0941,2063,0.05,0.54
O08755,0.9235,43.2,8353.7,328,8353.7,193.3727,0.4195,461,0.23,0.5
Q9CXT6,0.9438,158.0,30528.8,224,30528.8,193.2203,0.4713,410,0.44,0.45
D3YWE6,0.9616,48.9,9417.4,528,9417.4,192.5849,0.1489,1293,0.08,0.47
P28825,0.9226,36.1,6925.1,725,6925.1,191.831,0.2582,743,0.24,0.59
O54826,0.9447,35.0,6681.4,750,6681.4,190.8971,0.1794,1064,0.16,0.47
O55189,0.9493,49.2,9391.7,15,9391.7,190.8882,0.4737,403,0.11,0.65
P13597,0.9267,70.4,13428.7,502,13428.7,190.7486,0.3579,533,0.16,0.73
O55134,0.9313,47.4,8988.2,718,8988.2,189.6245,0.1612,1176,0.2,0.59
Q9DBY4,0.9529,48.5,9159.9,705,9159.9,188.8639,0.2346,805,0.22,0.51
P18337,0.9603,148.1,27768.7,351,27768.7,187.4997,0.5095,368,0.29,0.56
Q47083,0.9248,163.5,30566.3,135,30566.3,186.9498,0.5992,312,0.52,0.38
Q91ZV7,0.9467,79.3,14816.9,432,14816.9,186.8462,0.3767,496,0.26,0.55
P25798,0.9465,307.0,57348.8,32,57348.8,186.8039,0.3409,548,0.49,0.41
Q3V0E1,0.923,18.2,3397.4,91,3397.4,186.6703,0.1583,1179,0.09,0.54
Q8BV57,0.9354,21.3,3945.8,1323,3945.8,185.2488,0.1355,1367,0.13,0.51
P37325,0.9261,194.1,35921.7,45,35921.7,185.068,0.6338,292,0.48,0.42
P49919,0.9473,58.8,10850.5,52,10850.5,184.5323,0.5364,344,0.16,0.6
G3XA59,0.949,63.0,11527.1,642,11527.1,182.9698,0.2776,659,0.28,0.48
Q9WTJ6,0.9377,77.8,14195.4,449,14195.4,182.4602,0.3874,471,0.19,0.54
Q6P9K9,0.9313,30.8,5494.2,1511,5494.2,178.3831,0.1138,1567,0.13,0.65
P31058,0.9547,46.3,8244.2,278,8244.2,178.0605,0.4364,408,0.15,0.68
Q03249,0.934,87.6,15588.0,152,15588.0,177.9452,0.4745,375,0.41,0.48
P62500,0.9244,18.5,3272.0,1016,3272.0,176.8649,0.1648,1073,0.07,0.52
Q64449,0.9208,37.7,6649.1,546,6649.1,176.3687,0.1196,1475,0.24,0.56
P97321,0.925,45.3,7841.1,15,7841.1,173.0927,0.2287,757,0.31,0.53
C0HKD1,0.9354,54.2,9354.2,25,9354.2,172.5867,0.1324,1304,0.21,0.48
Q8VHQ4,0.9328,137.6,23740.3,196,23740.3,172.5312,0.6229,277,0.39,0.42
Q9Z1T5,0.9531,161.1,27781.0,24,27781.0,172.4457,0.3068,562,0.26,0.52
Q62521,0.943,31.1,5361.3,344,5361.3,172.3891,0.3731,462,0.17,0.59
Q8K099,0.9216,57.3,9839.0,533,9839.0,171.7103,0.277,620,0.23,0.61
Q925J9,0.9206,31.9,5475.8,172,5475.8,171.6552,0.1093,1571,0.18,0.49
O54732,0.9468,156.4,26625.3,625,26625.3,170.2385,0.2607,653,0.3,0.51
Q3UHJ8,0.9465,63.9,10877.4,267,10877.4,170.2254,0.4224,403,0.13,0.67
P26618,0.9236,46.9,7921.2,541,7921.2,168.8955,0.1557,1085,0.23,0.6
Q8CIE2,0.9429,45.9,7721.2,14,7721.2,168.2179,0.1836,916,0.15,0.59
P56677,0.937,40.6,6817.6,124,6817.6,167.9212,0.1973,851,0.22,0.59
Q6DIB5,0.9449,20.7,3472.6,864,3472.6,167.7585,0.1468,1143,0.12,0.55
Q80T11,0.9231,124.2,20646.8,445,20646.8,166.2383,0.3638,457,0.39,0.34
P75995,0.9377,325.4,53919.8,12,53919.8,165.7031,0.3294,503,0.51,0.39
P00946,0.9245,59.2,9765.7,186,9765.7,164.9611,0.4263,387,0.34,0.53
P85442,0.9433,56.4,9272.9,115,9272.9,164.4131,0.5106,322,0.13,0.59
P45376,0.9316,97.5,16008.4,142,16008.4,164.1887,0.5262,312,0.46,0.36
Q810K9,0.9386,156.1,25605.8,16,25605.8,164.0346,0.3728,440,0.46,0.38
Q9WV34,0.9419,173.8,28505.2,534,28505.2,164.0115,0.2993,548,0.43,0.45
Q0GA42,0.9442,113.0,18519.0,611,18519.0,163.885,0.1731,947,0.35,0.47
Q8BMN4,0.9472,66.9,10954.9,673,10954.9,163.7504,0.2419,677,0.27,0.57
Q8BZ32,0.9208,22.5,3682.9,59,3682.9,163.6844,0.1198,1366,0.15,0.46
Q8R4I7,0.9433,60.3,9804.2,354,9804.2,162.5904,0.3074,529,0.13,0.64
Q8C5L3,0.9276,26.2,4258.6,461,4258.6,162.542,0.3032,536,0.2,0.57
Q7TSF0,0.926,46.3,7514.8,665,7514.8,162.3067,0.1789,907,0.17,0.66
Q8C4A5,0.9213,14.3,2314.6,1066,2314.6,161.8601,0.0718,2255,0.09,0.48
Q7TPD1,0.9345,33.5,5411.2,68,5411.2,161.5284,0.1744,926,0.16,0.65
Q9D3X9,0.9301,200.2,32310.4,160,32310.4,161.3906,0.3985,405,0.28,0.54
P00756,0.9392,27.2,4388.4,105,4388.4,161.3382,0.6278,257,0.2,0.65
Q8K4B4,0.9359,73.2,11796.7,13,11796.7,161.1571,0.2518,640,0.19,0.65
Q80TG9,0.9581,49.0,7886.7,549,7886.7,160.9531,0.2053,784,0.16,0.58
P0C6A2,0.9522,131.5,21160.3,488,21160.3,160.9148,0.2014,799,0.17,0.49
Q8BLH7,0.9204,27.2,4359.0,30,4359.0,160.2574,0.2684,597,0.19,0.47
O35930,0.94,30.7,4917.5,631,4917.5,160.1792,0.2194,730,0.14,0.56
D3Z4I3,0.9548,64.9,10382.6,65,10382.6,159.9784,0.6896,232,0.13,0.59
Q64287,0.948,61.8,9866.5,416,9866.5,159.6521,0.358,446,0.27,0.57
Q8C5N5,0.9241,48.6,7728.6,215,7728.6,159.0247,0.4417,360,0.22,0.59
P25118,0.9304,127.4,20209.3,356,20209.3,158.6287,0.3525,450,0.33,0.48
Q9D5W8,0.9319,190.0,29941.1,64,29941.1,157.5847,0.6329,249,0.46,0.47
Q9JLN6,0.9385,82.5,12960.9,689,12960.9,157.1018,0.1991,789,0.27,0.55
P0A823,0.9613,141.3,22188.6,199,22188.6,157.0318,0.6827,230,0.27,0.57
Q3V0Q7,0.9475,56.8,8919.2,323,8919.2,157.0282,0.473,332,0.24,0.56
Q8C110,0.9438,45.2,7060.5,628,7060.5,156.2058,0.1868,836,0.24,0.47
P09027,0.9285,50.9,7940.3,246,7940.3,155.998,0.3636,429,0.13,0.63
Q9JIL4,0.9303,59.8,9289.0,441,9289.0,155.3344,0.3016,515,0.26,0.55
Q9QX96,0.9472,54.1,8401.5,204,8401.5,155.2957,0.1553,1000,0.18,0.51
A0A140LI67,0.9216,56.5,8764.0,635,8764.0,155.115,0.1118,1388,0.24,0.44
O89103,0.9416,63.2,9781.1,586,9781.1,154.7642,0.2418,640,0.2,0.6
P41274,0.9638,111.2,17209.3,92,17209.3,154.7599,0.5074,305,0.17,0.63
Q8BGA3,0.9457,92.3,14205.0,459,14205.0,153.9003,0.3012,511,0.31,0.45
Q03173,0.9322,204.3,31413.9,547,31413.9,153.7636,0.1927,798,0.25,0.58
P76228,0.9325,542.8,83437.7,52,83437.7,153.7172,0.4495,342,0.7,0.21
Q60696,0.9317,51.4,7900.9,570,7900.9,153.714,0.2471,622,0.09,0.7
Q9CXY9,0.9387,158.3,24303.2,9,24303.2,153.5262,0.3927,391,0.44,0.42
P0ADH5,0.9578,299.4,45950.8,21,45950.8,153.4763,0.783,196,0.56,0.29
Q9QYB2,0.9396,151.0,22988.5,322,22988.5,152.2417,0.2038,747,0.29,0.46
Q9JK83,0.9274,40.9,6224.1,47,6224.1,152.1785,0.4147,367,0.18,0.64
Q8R1R3,0.9264,165.1,24969.4,40,24969.4,151.238,0.4099,369,0.41,0.48
Q8BLY3,0.9399,40.8,6154.2,552,6154.2,150.8382,0.2425,622,0.19,0.61
P76215,0.9269,78.9,11882.4,65,11882.4,150.6008,0.4736,318,0.33,0.52
P26262,0.9339,31.1,4666.9,320,4666.9,150.0611,0.2367,634,0.24,0.61
F8VPJ6,0.9221,22.8,3411.1,77,3411.1,149.6096,0.1028,1455,0.13,0.44
Q8R3I9,0.96,284.2,42516.9,193,42516.9,149.602,0.3886,385,0.45,0.42
Q3U435,0.9305,45.0,6660.1,197,6660.1,148.0022,0.2422,611,0.23,0.56
Q02780,0.9536,114.3,16881.9,463,16881.9,147.6982,0.2797,528,0.3,0.52
Q8VH31,0.9314,36.9,5440.8,72,5440.8,147.4472,0.521,283,0.23,0.59
Q673H1,0.9474,581.2,85286.2,165,85286.2,146.7416,0.7301,201,0.48,0.35
Q99KR6,0.9364,102.8,15079.7,310,15079.7,146.6897,0.3943,372,0.31,0.47
Q8CHS4,0.9233,87.7,12839.2,160,12839.2,146.3991,0.4293,341,0.44,0.43
Q8BXA0,0.9301,28.2,4119.7,545,4119.7,146.0887,0.2043,715,0.17,0.61
P26648,0.9243,24.9,3621.5,305,3621.5,145.4418,0.3121,466,0.15,0.7
P49935,0.9258,103.9,15058.5,55,15058.5,144.9326,0.4405,329,0.36,0.46
Q9Z0H4,0.9257,78.5,11351.0,227,11351.0,144.5987,0.2869,504,0.29,0.39
Q9JIY2,0.9237,41.5,5998.9,29,5998.9,144.5518,0.2968,487,0.06,0.76
Q9DB52,0.9416,99.8,14421.3,102,14421.3,144.502,0.5161,280,0.13,0.67
P98156,0.9304,19.3,2786.1,809,2786.1,144.3575,0.1661,869,0.19,0.55
Q8K3W2,0.9389,42.8,6157.1,266,6157.1,143.8575,0.5328,270,0.31,0.5
Q8R2I0,0.9498,93.0,13259.0,171,13259.0,142.5699,0.3885,367,0.18,0.58
Q3U285,0.9593,227.2,32354.4,167,32354.4,142.4049,0.2389,596,0.36,0.39
Q80X71,0.9349,82.9,11801.1,105,11801.1,142.3534,0.5253,271,0.21,0.59
Q91YR9,0.9345,137.9,19627.7,288,19627.7,142.3328,0.4379,325,0.39,0.47
Q80WJ7,0.9247,30.1,4270.8,52,4270.8,141.887,0.2468,575,0.14,0.49
E9PYY5,0.9209,45.6,6469.1,229,6469.1,141.8662,0.1767,803,0.22,0.57
Q5M8M9,0.9465,177.3,25052.4,256,25052.4,141.2995,0.4558,310,0.4,0.4
Q8BHD1,0.9202,59.7,8419.8,433,8419.8,141.0352,0.2988,472,0.23,0.58
Q7TSD4,0.9233,74.7,10499.0,195,10499.0,140.5489,0.3613,389,0.24,0.51
E9Q9F6,0.9314,44.2,6191.2,733,6191.2,140.0724,0.1749,801,0.23,0.62
Q6GQX2,0.9225,40.8,5714.4,97,5714.4,140.0588,0.1062,1319,0.17,0.51
O70423,0.923,44.1,6154.9,19,6154.9,139.5669,0.1834,761,0.26,0.6
Q3UMU9,0.926,39.0,5426.9,337,5426.9,139.1513,0.2093,665,0.24,0.45
