label,pdb_id,chain,n_residues,n_valid,gini,kappa2_mean,kappa2_median,kappa2_max,kappa2_std,alpha,beta,loop,frac_alpha,frac_beta,kappa2_alpha,kappa2_beta,kappa2_loop,ligand,ligand_atoms,top1_res,top1_kappa2
AF-A0A140LI88-F1-model_v6,AF,A,1857,1853,0.8906,18.9,1.0,1987.5,81.8,379,711,763,0.2,0.38,82.3,2.2,2.9,NONE,0,548,1987.5
AF-A0A140LIA7-F1-model_v6,AF,A,188,184,0.7637,125.5,16.2,2779.1,286.5,113,41,30,0.61,0.22,199.7,9.6,4.4,NONE,0,180,2779.1
AF-A0A140LIF8-F1-model_v6,AF,A,395,391,0.8096,115.4,7.8,5347.6,348.0,217,122,52,0.55,0.31,200.6,11.8,2.8,NONE,0,234,5347.6
AF-A0A140LIJ0-F1-model_v6,AF,A,701,697,0.7775,186.0,47.5,20009.6,854.7,513,139,45,0.74,0.2,250.2,8.9,1.5,NONE,0,326,20009.6
AF-A0A140LIT1-F1-model_v6,AF,A,234,230,0.7013,356.6,141.0,8805.5,778.8,172,39,19,0.75,0.17,474.4,9.3,3.0,NONE,0,16,8805.5
AF-A0A1B0GQX2-F1-model_v6,AF,A,48,44,0.744,491.3,120.4,4607.2,949.7,39,1,4,0.89,0.02,552.9,0.8,14.1,NONE,0,39,4607.2
AF-A0A1B0GQX3-F1-model_v6,AF,A,59,55,0.7131,305.1,18.4,2613.5,499.0,29,12,14,0.53,0.22,574.1,5.4,4.7,NONE,0,31,2613.5
AF-A0A1B0GR13-F1-model_v6,AF,A,642,638,0.8271,11.7,1.3,613.4,37.5,65,374,199,0.1,0.59,46.8,9.6,4.0,NONE,0,98,613.4
AF-A0A1B0GRQ0-F1-model_v6,AF,A,93,89,0.8309,181.6,4.1,4055.9,495.2,30,32,27,0.34,0.36,518.7,15.9,3.4,NONE,0,28,4055.9
AF-A0A1B0GRQ3-F1-model_v6,AF,A,87,83,0.9153,74.2,1.8,2427.6,304.1,29,43,11,0.35,0.52,204.0,5.5,0.5,NONE,0,39,2427.6
AF-A0A1B0GSN8-F1-model_v6,AF,A,89,85,0.7688,240.0,34.0,2377.0,453.1,44,19,22,0.52,0.22,455.0,4.8,12.8,NONE,0,48,2377.0
AF-A0A1B0GST9-F1-model_v6,AF,A,59,55,0.7456,494.3,102.3,6014.2,989.5,32,15,8,0.58,0.27,832.2,36.4,1.4,NONE,0,24,6014.2
AF-A0A1B0GSZ0-F1-model_v6,AF,A,75,71,0.7985,267.2,11.0,3051.5,567.0,33,27,11,0.46,0.38,552.5,26.4,2.4,NONE,0,9,3051.5
AF-A0A1D5RMD1-F1-model_v6,AF,A,1437,1433,0.8819,47.0,1.7,4683.7,189.0,393,644,396,0.27,0.45,162.2,4.6,1.5,NONE,0,1368,4683.7
AF-A0A1D9BZF0-F1-model_v6,AF,A,507,503,0.9614,49.7,1.1,5169.6,354.5,30,214,259,0.06,0.43,791.9,2.9,2.4,NONE,0,385,5169.6
AF-A0A1L1SUL6-F1-model_v6,AF,A,329,325,0.8332,56.6,3.3,920.7,137.7,136,143,46,0.42,0.44,106.8,26.3,2.7,NONE,0,6,920.7
AF-A0A1W2P7I0-F1-model_v6,AF,A,76,72,0.6328,319.2,138.5,2443.0,466.1,69,2,1,0.96,0.03,333.0,1.0,1.2,NONE,0,50,2443.0
AF-A0A1W2P872-F1-model_v6,AF,A,492,488,0.8554,80.2,2.8,2873.9,236.5,178,198,112,0.36,0.41,205.2,10.7,4.4,NONE,0,467,2873.9
AF-A0A1W2P884-F1-model_v6,AF,A,806,802,0.7987,82.2,5.6,1895.3,193.4,369,255,178,0.46,0.32,175.1,4.4,1.2,NONE,0,526,1895.3
AF-A0A286YD83-F1-model_v6,AF,A,63,59,0.7163,488.1,189.5,4103.4,797.8,40,10,9,0.68,0.17,719.3,1.6,1.2,NONE,0,30,4103.4
AF-A0A286YDK6-F1-model_v6,AF,A,273,269,0.8545,32.9,1.7,883.8,93.3,82,114,73,0.3,0.42,92.3,9.0,3.4,NONE,0,95,883.8
AF-A0A286YEC0-F1-model_v6,AF,A,699,695,0.9308,92.3,1.9,11606.0,570.1,218,366,111,0.31,0.53,265.8,16.4,1.9,NONE,0,673,11606.0
AF-A0A2R8VHF7-F1-model_v6,AF,A,171,167,0.873,123.4,4.2,2951.8,374.3,62,84,21,0.37,0.5,308.5,16.6,3.6,NONE,0,29,2951.8
AF-A0A2R8VHR8-F1-model_v6,AF,A,34,30,0.6092,399.6,226.1,3075.1,583.9,27,3,0,0.9,0.1,442.1,17.2,,NONE,0,20,3075.1
AF-A0A338P6K9-F1-model_v6,AF,A,1788,1784,0.8694,9.5,0.9,616.0,36.7,192,759,833,0.11,0.43,66.8,2.9,2.4,NONE,0,1426,616.0
AF-A0A494BA31-F1-model_v6,AF,A,952,948,0.8242,101.8,6.0,6107.5,320.1,482,350,116,0.51,0.37,191.0,11.6,3.5,NONE,0,280,6107.5
AF-A0A571BEE2-F1-model_v6,AF,A,422,418,0.8285,6.4,0.9,364.1,23.2,34,199,185,0.08,0.48,19.0,8.2,2.2,NONE,0,62,364.1
AF-A0A571BF63-F1-model_v6,AF,A,1286,1282,0.8949,41.4,2.2,12384.8,368.3,401,641,240,0.31,0.5,123.9,4.6,1.9,NONE,0,617,12384.8
AF-A0A5F8MPE6-F1-model_v6,AF,A,368,364,0.8126,147.6,16.1,5146.5,438.0,215,127,22,0.59,0.35,240.0,16.5,2.5,NONE,0,164,5146.5
AF-A0A5F8MPU3-F1-model_v6,AF,A,2282,2278,0.9359,24.6,1.0,22014.8,471.6,300,1170,808,0.13,0.51,159.9,5.5,2.1,NONE,0,1615,22014.8
AF-A0A5K7RLP0-F1-model_v6,AF,A,589,585,0.8115,19.2,2.5,445.4,49.4,116,345,124,0.2,0.59,64.5,10.0,2.5,NONE,0,142,445.4
AF-A0A6I8MX38-F1-model_v6,AF,A,142,138,0.8162,105.6,5.1,1245.3,232.7,60,38,40,0.43,0.28,234.6,8.3,4.3,NONE,0,64,1245.3
AF-A0A7N9VSG0-F1-model_v6,AF,A,747,743,0.8226,62.1,4.1,2000.4,155.3,332,310,101,0.45,0.42,129.5,9.8,1.2,NONE,0,734,2000.4
AF-A0A804C8T0-F1-model_v6,AF,A,276,272,0.8006,128.5,9.6,3386.3,314.3,127,90,55,0.47,0.33,265.8,11.3,3.2,NONE,0,53,3386.3
AF-A0AAQ4VMX2-F1-model_v6,AF,A,1734,1730,0.8961,34.8,2.2,6305.3,241.8,470,1030,230,0.27,0.6,108.2,8.8,1.5,NONE,0,1162,6305.3
AF-A0AUP1-F1-model_v6,AF,A,442,438,0.6636,225.7,109.9,4702.0,414.7,347,59,32,0.79,0.13,283.0,8.2,5.2,NONE,0,342,4702.0
AF-A0AUV4-F1-model_v6,AF,A,508,504,0.8536,29.0,2.5,1780.4,108.3,183,242,79,0.36,0.48,57.0,14.2,9.6,NONE,0,137,1780.4
AF-A0JLY1-F1-model_v6,AF,A,547,543,0.6748,323.4,122.1,4434.1,519.0,443,61,39,0.82,0.11,393.5,18.8,3.3,NONE,0,373,4434.1
AF-A0JNT9-F1-model_v6,AF,A,577,573,0.7148,102.4,36.2,1551.5,191.7,414,98,61,0.72,0.17,140.6,2.9,2.7,NONE,0,511,1551.5
AF-A0JNU3-F1-model_v6,AF,A,564,560,0.9097,123.4,1.6,15564.3,744.5,264,211,85,0.47,0.38,256.9,5.8,1.0,NONE,0,503,15564.3
AF-A0JP43-F1-model_v6,AF,A,1406,1402,0.8781,67.9,2.9,23767.4,649.0,610,522,270,0.44,0.37,149.8,6.3,1.7,NONE,0,723,23767.4
AF-A0PJN4-F1-model_v6,AF,A,161,157,0.8563,51.5,1.4,1074.2,142.6,64,68,25,0.41,0.43,119.3,6.5,0.5,NONE,0,142,1074.2
AF-A0PK84-F1-model_v6,AF,A,263,259,0.8129,154.1,9.3,5319.5,436.8,172,52,35,0.66,0.2,229.9,5.1,3.1,NONE,0,218,5319.5
AF-A1A535-F1-model_v6,AF,A,833,829,0.7994,70.7,6.7,2939.2,184.9,492,222,115,0.59,0.27,115.1,7.4,2.6,NONE,0,819,2939.2
AF-A1A546-F1-model_v6,AF,A,240,236,0.898,59.2,2.4,3160.0,277.9,48,137,51,0.2,0.58,248.8,14.2,1.6,NONE,0,108,3160.0
AF-A1A547-F1-model_v6,AF,A,347,343,0.8948,74.5,2.5,3070.2,266.6,112,170,61,0.33,0.5,212.7,8.5,4.6,NONE,0,306,3070.2
AF-A1A5B6-F1-model_v6,AF,A,742,738,0.8565,40.8,2.8,1724.9,141.6,294,299,145,0.4,0.41,91.2,10.0,1.8,NONE,0,374,1724.9
AF-A1E960-F1-model_v6,AF,A,273,269,0.8579,21.8,1.8,863.4,77.2,15,170,84,0.06,0.63,207.0,13.3,5.8,NONE,0,10,863.4
AF-A1EGX6-F1-model_v6,AF,A,1074,1070,0.9399,15.5,0.8,4939.2,166.0,32,590,448,0.03,0.55,411.1,4.7,1.4,NONE,0,75,4939.2
AF-A1IGU4-F1-model_v6,AF,A,676,672,0.7581,116.2,19.8,2823.4,249.3,434,178,60,0.65,0.26,165.9,33.5,2.3,NONE,0,411,2823.4
AF-A1KXC4-F1-model_v6,AF,A,422,418,0.8413,29.8,3.1,854.1,87.7,77,279,62,0.18,0.67,117.7,11.9,1.1,NONE,0,291,854.1
AF-A1L0T3-F1-model_v6,AF,A,586,582,0.9088,13.6,0.7,1081.2,65.8,88,332,162,0.15,0.57,63.0,6.5,1.3,NONE,0,520,1081.2
AF-A1L314-F1-model_v6,AF,A,713,709,0.8916,75.3,2.9,3200.5,269.7,250,340,119,0.35,0.48,202.2,7.5,2.5,NONE,0,9,3200.5
AF-A1L317-F1-model_v6,AF,A,512,508,0.7787,260.2,54.7,14406.1,808.5,288,147,73,0.57,0.29,451.3,14.1,2.4,NONE,0,204,14406.1
AF-A1L3C1-F1-model_v6,AF,A,212,208,0.8212,30.3,5.3,1638.4,122.1,52,128,28,0.25,0.62,77.9,17.0,2.9,NONE,0,140,1638.4
AF-A1L3P4-F1-model_v6,AF,A,702,698,0.7943,120.0,15.6,7856.6,408.2,446,157,95,0.64,0.22,184.6,5.4,6.1,NONE,0,325,7856.6
AF-A1L3T7-F1-model_v6,AF,A,938,934,0.8519,89.8,4.3,7502.9,351.7,436,322,176,0.47,0.34,185.2,7.1,4.8,NONE,0,160,7502.9
AF-A1Y9I9-F1-model_v6,AF,A,258,254,0.8338,69.1,4.8,2077.1,211.4,147,77,30,0.58,0.3,112.7,12.7,0.5,NONE,0,72,2077.1
AF-A1YIY0-F1-model_v6,AF,A,268,264,0.8583,35.1,3.3,1688.4,130.0,54,174,36,0.2,0.66,129.9,10.9,10.3,NONE,0,7,1688.4
AF-A1Z198-F1-model_v6,AF,A,1177,1173,0.8827,52.7,2.7,9742.8,320.6,495,501,177,0.42,0.43,116.5,6.9,3.8,NONE,0,627,9742.8
AF-A2A259-F1-model_v6,AF,A,760,756,0.7969,127.9,11.1,7035.6,376.2,462,209,85,0.61,0.28,205.5,7.7,1.7,NONE,0,439,7035.6
AF-A2A3V1-F1-model_v6,AF,A,959,955,0.8773,28.0,1.6,2357.9,120.5,218,479,258,0.23,0.5,106.4,6.2,2.1,NONE,0,293,2357.9
AF-A2A3V2-F1-model_v6,AF,A,341,337,0.7453,134.8,28.9,2049.6,261.3,257,47,33,0.76,0.14,175.9,3.8,1.3,NONE,0,331,2049.6
AF-A2A432-F1-model_v6,AF,A,970,966,0.7848,54.7,5.9,1018.2,121.1,508,318,140,0.53,0.33,99.1,7.2,1.2,NONE,0,683,1018.2
AF-A2A4P0-F1-model_v6,AF,A,1244,1240,0.8573,43.6,2.0,2301.7,144.6,539,472,229,0.43,0.38,93.1,6.7,3.1,NONE,0,955,2301.7
AF-A2A559-F1-model_v6,AF,A,320,316,0.7451,168.4,42.5,3737.4,347.9,240,55,21,0.76,0.17,218.8,11.7,4.1,NONE,0,242,3737.4
AF-A2A591-F1-model_v6,AF,A,98,94,0.7781,10.9,2.0,124.1,24.0,4,69,21,0.04,0.73,1.3,14.2,1.6,NONE,0,83,124.1
AF-A2A5E6-F1-model_v6,AF,A,429,425,0.8301,14.2,1.5,516.3,44.2,101,191,133,0.24,0.45,47.9,3.8,3.7,NONE,0,243,516.3
AF-A2A5H7-F1-model_v6,AF,A,82,78,0.8628,47.8,3.3,803.6,140.3,28,35,15,0.36,0.45,119.6,10.2,1.6,NONE,0,11,803.6
AF-A2A5I3-F1-model_v6,AF,A,253,249,0.8901,41.5,1.9,2607.7,195.3,65,143,41,0.26,0.57,134.2,10.5,2.6,NONE,0,96,2607.7
AF-A2A5K6-F1-model_v6,AF,A,1337,1333,0.8959,22.8,1.2,5473.1,168.6,299,614,420,0.22,0.46,85.3,5.2,4.0,NONE,0,1289,5473.1
AF-A2A5N3-F1-model_v6,AF,A,607,603,0.8445,32.7,2.5,1563.2,103.4,226,285,92,0.37,0.47,79.6,5.6,1.6,NONE,0,593,1563.2
AF-A2A5N8-F1-model_v6,AF,A,826,822,0.8344,12.6,1.5,526.2,42.5,164,493,165,0.2,0.6,42.2,6.7,1.0,NONE,0,815,526.2
AF-A2A5R2-F1-model_v6,AF,A,1792,1788,0.784,79.9,11.8,6592.1,240.4,1168,384,236,0.65,0.21,119.8,5.7,2.9,NONE,0,1248,6592.1
AF-A2A5X4-F1-model_v6,AF,A,342,338,0.6903,24.2,7.8,254.3,39.8,2,293,43,0.01,0.87,0.6,27.5,2.9,NONE,0,266,254.3
AF-A2A5X5-F1-model_v6,AF,A,502,498,0.8449,8.2,1.2,945.0,50.6,0,345,153,0.0,0.69,,10.9,2.3,NONE,0,317,945.0
AF-A2A5Z6-F1-model_v6,AF,A,748,744,0.8848,47.1,1.9,4773.0,230.4,283,336,125,0.38,0.45,109.9,9.1,7.1,NONE,0,671,4773.0
AF-A2A690-F1-model_v6,AF,A,1994,1990,0.8821,35.1,1.3,2909.3,136.9,657,789,544,0.33,0.4,100.8,3.2,2.0,NONE,0,1366,2909.3
AF-A2A699-F1-model_v6,AF,A,822,818,0.9193,31.9,1.2,1595.7,143.6,102,483,233,0.12,0.59,179.9,14.2,3.8,NONE,0,329,1595.7
AF-A2A6A1-F1-model_v6,AF,A,1505,1501,0.9324,24.2,1.0,8349.9,240.0,191,697,613,0.13,0.46,167.2,4.4,2.1,NONE,0,1092,8349.9
AF-A2A6C4-F1-model_v6,AF,A,690,686,0.8439,116.0,4.8,7437.2,396.1,311,256,119,0.45,0.37,242.3,13.4,6.4,NONE,0,500,7437.2
AF-A2A6H3-F1-model_v6,AF,A,451,447,0.7747,129.6,25.3,3457.2,302.6,324,83,40,0.72,0.19,174.6,15.2,2.0,NONE,0,325,3457.2
AF-A2A6M5-F1-model_v6,AF,A,331,327,0.7346,193.4,58.8,3752.1,378.9,211,92,24,0.65,0.28,296.5,6.9,1.9,NONE,0,255,3752.1
AF-A2A6Q5-F1-model_v6,AF,A,825,821,0.837,103.7,3.2,4111.9,316.1,414,240,167,0.5,0.29,202.8,3.4,2.1,NONE,0,124,4111.9
AF-A2A6T1-F1-model_v6,AF,A,465,461,0.7512,256.1,70.3,11558.8,681.7,316,66,79,0.69,0.14,372.2,3.8,2.6,NONE,0,262,11558.8
AF-A2A761-F1-model_v6,AF,A,587,583,0.8706,27.2,1.5,1579.0,107.3,200,240,143,0.34,0.41,72.0,3.7,3.9,NONE,0,505,1579.0
AF-A2A791-F1-model_v6,AF,A,1549,1545,0.86,20.5,1.4,1017.0,67.4,351,746,448,0.23,0.48,72.4,6.7,2.7,NONE,0,1111,1017.0
AF-A2A7Q9-F1-model_v6,AF,A,732,728,0.8637,33.8,2.5,1717.5,115.1,204,388,136,0.28,0.53,102.7,8.8,2.0,NONE,0,190,1717.5
AF-A2A7S8-F1-model_v6,AF,A,1013,1009,0.9451,38.8,1.4,14263.9,486.1,104,583,322,0.1,0.58,293.1,13.8,2.1,NONE,0,74,14263.9
AF-A2A7V7-F1-model_v6,AF,A,229,225,0.8601,34.7,2.4,910.8,108.7,51,140,34,0.23,0.62,109.6,13.4,9.8,NONE,0,205,910.8
AF-A2A7Y5-F1-model_v6,AF,A,387,383,0.9347,75.7,2.0,5264.1,432.0,88,206,89,0.23,0.54,293.0,14.4,2.5,NONE,0,23,5264.1
AF-A2A7Z8-F1-model_v6,AF,A,408,404,0.868,129.4,5.0,16801.5,854.1,217,131,56,0.54,0.32,235.5,8.3,1.5,NONE,0,73,16801.5
AF-A2A825-F1-model_v6,AF,A,258,254,0.8151,37.6,3.7,881.3,96.6,106,122,26,0.42,0.48,75.7,12.3,0.5,NONE,0,242,881.3
AF-A2A863-F1-model_v6,AF,A,1818,1814,0.8621,14.6,1.3,1450.5,66.8,344,1071,399,0.19,0.59,48.9,8.2,2.2,NONE,0,411,1450.5
AF-A2A870-F1-model_v6,AF,A,1173,1169,0.7981,101.8,4.2,2701.6,237.7,535,319,315,0.46,0.27,218.7,4.1,2.1,NONE,0,869,2701.6
AF-A2A884-F1-model_v6,AF,A,2348,2344,0.8449,4.3,0.7,925.4,30.3,95,1203,1046,0.04,0.51,56.3,2.6,1.6,NONE,0,456,925.4
AF-A2A891-F1-model_v6,AF,A,1682,1678,0.9065,44.9,1.3,4459.3,206.4,416,703,559,0.25,0.42,171.7,4.1,2.0,NONE,0,1163,4459.3
AF-A2A8L1-F1-model_v6,AF,A,1946,1942,0.855,27.4,1.5,2117.5,92.6,678,737,527,0.35,0.38,69.4,6.7,2.3,NONE,0,1172,2117.5
AF-A2A8L5-F1-model_v6,AF,A,1898,1894,0.853,17.7,1.4,1366.2,66.9,393,1208,293,0.21,0.64,55.3,9.4,1.2,NONE,0,1592,1366.2
AF-A2A8T7-F1-model_v6,AF,A,201,197,0.9052,189.7,5.2,8859.8,786.1,57,103,37,0.29,0.52,605.7,26.9,2.1,NONE,0,21,8859.8
AF-A2A8U2-F1-model_v6,AF,A,664,660,0.8294,128.6,7.2,4246.9,356.2,288,265,107,0.44,0.4,281.0,11.3,9.1,NONE,0,647,4246.9
AF-A2A8Z1-F1-model_v6,AF,A,736,732,0.8589,33.9,2.6,1346.3,118.9,239,372,121,0.33,0.51,84.9,10.7,4.3,NONE,0,629,1346.3
AF-A2A935-F1-model_v6,AF,A,1275,1271,0.8577,8.9,0.9,582.6,36.5,221,606,444,0.17,0.48,38.5,3.6,1.5,NONE,0,1225,582.6
AF-A2A974-F1-model_v6,AF,A,508,504,0.8903,190.9,7.0,16733.8,1083.0,314,142,48,0.62,0.28,304.1,4.6,1.5,NONE,0,41,16733.8
AF-A2A995-F1-model_v6,AF,A,729,725,0.8588,14.0,1.5,793.2,51.1,87,419,219,0.12,0.58,57.3,11.1,2.3,NONE,0,277,793.2
AF-A2A9A2-F1-model_v6,AF,A,531,527,0.8596,19.7,1.9,1037.5,74.3,103,268,156,0.2,0.51,83.3,5.3,2.5,NONE,0,348,1037.5
AF-A2A9F4-F1-model_v6,AF,A,397,393,0.8945,71.3,2.8,4282.6,293.9,85,209,99,0.22,0.53,307.8,7.9,2.2,NONE,0,255,4282.6
AF-A2A9G7-F1-model_v6,AF,A,189,185,0.9027,181.6,2.1,6491.6,630.0,45,103,37,0.24,0.56,727.3,8.0,1.2,NONE,0,79,6491.6
AF-A2A9I7-F1-model_v6,AF,A,359,355,0.9282,124.3,2.8,11613.6,737.1,45,231,79,0.13,0.65,489.1,95.0,2.2,NONE,0,61,11613.6
AF-A2A9Q0-F1-model_v6,AF,A,223,219,0.894,85.9,4.6,3879.5,343.6,54,134,31,0.25,0.61,303.9,15.6,10.0,NONE,0,197,3879.5
AF-A2A9R3-F1-model_v6,AF,A,556,552,0.7955,35.1,4.5,1694.6,103.3,157,318,77,0.28,0.58,90.4,15.9,1.5,NONE,0,228,1694.6
AF-A2A9T0-F1-model_v6,AF,A,611,607,0.8135,142.3,8.0,6116.0,433.8,258,236,113,0.43,0.39,325.2,8.5,4.2,NONE,0,262,6116.0
AF-A2AA28-F1-model_v6,AF,A,253,249,0.8703,51.8,2.5,1411.1,155.3,86,124,39,0.35,0.5,120.8,19.8,1.1,NONE,0,178,1411.1
AF-A2AAE1-5-F1-model_v6,AF,A,877,873,0.8594,43.8,3.0,1900.0,150.0,216,551,106,0.25,0.63,124.0,20.2,3.5,NONE,0,31,1900.0
AF-A2AAJ9-3-F1-model_v6,AF,A,732,728,0.8039,13.3,2.3,815.0,44.8,81,516,131,0.11,0.71,59.3,9.2,1.3,NONE,0,331,815.0
AF-A2AAX3-F1-model_v6,AF,A,604,600,0.883,48.6,2.3,7706.8,327.0,220,300,80,0.37,0.5,119.7,9.2,1.0,NONE,0,256,7706.8
AF-A2AAY5-F1-model_v6,AF,A,908,904,0.8547,9.4,1.2,1142.5,50.1,105,533,266,0.12,0.59,36.9,7.8,1.8,NONE,0,4,1142.5
AF-A2AB59-F1-model_v6,AF,A,869,865,0.8765,28.7,2.0,2660.2,132.6,221,489,155,0.26,0.57,93.4,8.2,1.3,NONE,0,848,2660.2
AF-A2ABU4-F1-model_v6,AF,A,1439,1435,0.8245,14.2,1.7,1479.5,57.6,248,954,233,0.17,0.66,42.7,9.9,1.3,NONE,0,115,1479.5
AF-A2ABV5-F1-model_v6,AF,A,1459,1455,0.8604,49.1,2.9,3557.6,192.5,568,640,247,0.39,0.44,115.2,8.6,1.8,NONE,0,129,3557.6
AF-A2AC93-F1-model_v6,AF,A,623,619,0.8953,62.6,2.0,3937.3,262.0,202,345,72,0.33,0.56,173.1,9.4,7.2,NONE,0,555,3937.3
AF-A2ACG1-F1-model_v6,AF,A,198,194,0.8724,27.5,1.2,1053.6,96.0,44,123,27,0.23,0.63,38.0,29.2,2.6,NONE,0,15,1053.6
AF-A2ACJ2-F1-model_v6,AF,A,879,875,0.8734,55.6,3.6,4133.6,217.5,265,489,121,0.3,0.56,161.8,11.2,2.4,NONE,0,830,4133.6
AF-A2ACP1-F1-model_v6,AF,A,578,574,0.7429,124.5,28.4,3507.9,261.0,438,92,44,0.76,0.16,160.6,10.8,2.6,NONE,0,123,3507.9
AF-A2AD83-F1-model_v6,AF,A,703,699,0.8633,29.4,2.2,1181.8,96.1,167,404,128,0.24,0.58,100.6,8.4,2.7,NONE,0,268,1181.8
AF-A2ADA5-F1-model_v6,AF,A,291,287,0.8603,30.6,1.7,704.9,91.3,100,155,32,0.35,0.54,73.8,8.6,2.2,NONE,0,242,704.9
AF-A2ADF7-F1-model_v6,AF,A,318,314,0.7702,148.0,40.4,4481.4,374.8,235,49,30,0.75,0.16,192.5,24.0,2.0,NONE,0,129,4481.4
AF-A2ADU8-F1-model_v6,AF,A,337,333,0.8127,55.2,4.7,1163.4,132.2,172,122,39,0.52,0.37,98.6,11.2,1.3,NONE,0,314,1163.4
AF-A2ADU9-F1-model_v6,AF,A,328,324,0.8583,83.3,4.2,3934.5,295.3,165,117,42,0.51,0.36,158.0,7.6,1.1,NONE,0,10,3934.5
AF-A2ADY9-F1-model_v6,AF,A,399,395,0.896,124.3,4.0,9827.6,588.7,173,175,47,0.44,0.44,276.4,7.2,0.5,NONE,0,161,9827.6
AF-A2ADZ8-F1-model_v6,AF,A,418,414,0.8847,45.3,2.0,1605.9,160.9,96,204,114,0.23,0.49,182.2,4.4,3.1,NONE,0,170,1605.9
AF-A2AE20-F1-model_v6,AF,A,160,156,0.8907,81.7,1.3,1484.0,243.0,77,44,35,0.49,0.28,162.6,2.7,2.9,NONE,0,5,1484.0
AF-A2AE42-F1-model_v6,AF,A,229,225,0.6989,129.6,49.9,1559.4,220.1,178,33,14,0.79,0.15,158.0,28.2,7.3,NONE,0,175,1559.4
AF-A2AED3-F1-model_v6,AF,A,737,733,0.7703,13.0,2.5,429.8,32.9,51,593,89,0.07,0.81,0.7,15.9,0.5,NONE,0,29,429.8
AF-A2AEP0-F1-model_v6,AF,A,171,167,0.8765,36.5,2.2,1073.3,129.5,33,107,27,0.2,0.64,127.7,17.1,2.3,NONE,0,148,1073.3
AF-A2AEV7-F1-model_v6,AF,A,629,625,0.8879,44.3,1.7,3693.9,196.1,129,317,179,0.21,0.51,195.0,6.7,2.4,NONE,0,127,3693.9
AF-A2AEY4-F1-model_v6,AF,A,876,872,0.8323,38.9,3.1,1167.4,108.0,221,451,200,0.25,0.52,131.9,9.7,2.2,NONE,0,546,1167.4
