human_gene,disease,human_uid,mimic_uid,mimic_species,source_type,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc
TNIK,"Intellectual developmental disorder, autosomal recessive 54",Q9UKE5,F4K1J4,arabidopsis,dietary,95,0.9179,0.9131,1356,1419,292.0,326.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q01159,yeast,dietary,95,0.9393,0.9351,440,455,242.0,210.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q9CAH1,arabidopsis,dietary,95,0.9393,0.9305,440,446,242.0,228.0
SASH3,Immunodeficiency 102,O75995,Q9FGF8,arabidopsis,dietary,95,0.9403,0.948,376,387,220.0,207.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,P23293,yeast,dietary,95,0.9225,0.9237,688,653,208.0,168.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,O48709,arabidopsis,dietary,95,0.9225,0.9205,688,701,208.0,276.0
CBLIF,Hereditary intrinsic factor deficiency,P27352,Q9HVL9,pseudomonas,microbial,95,0.9201,0.9149,413,368,217.0,187.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,A2ZNT5,rice,dietary,95,0.914,0.918,662,633,160.0,98.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q67UX0,rice,dietary,95,0.914,0.8959,662,631,160.0,175.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,Q9LHN9,arabidopsis,dietary,95,0.9249,0.9195,627,601,173.0,198.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,I6YC58,tuberculosis,microbial,95,0.929,0.9384,471,451,175.0,224.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,Q8L7F7,arabidopsis,dietary,95,0.9195,0.9221,753,735,182.0,133.0
AIRE,"Autoimmune polyendocrine syndrome 1, with or without reversible metaphyseal dysplasia",O43918,Q9LX20,arabidopsis,dietary,95,0.9337,0.9303,541,524,180.0,152.0
HAAO,"Vertebral, cardiac, renal, and limb defects syndrome 1",P46952,O87663,salmonella,microbial,95,0.9233,0.9181,282,275,144.0,78.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q01159,yeast,dietary,95,0.9298,0.9351,532,455,148.0,210.0
ARR3,"Myopia 26, X-linked, female-limited",P36575,Q9LUP7,arabidopsis,dietary,95,0.9065,0.9084,384,377,120.0,120.0
RTN4R,Schizophrenia,Q9BZR6,Q9ZQA3,arabidopsis,dietary,95,0.9394,0.9398,469,403,157.0,135.0
FBXW4,Split-hand/foot malformation 3,P57775,Q0IU52,rice,dietary,95,0.9279,0.9209,408,406,114.0,103.0
FBXW4,Split-hand/foot malformation 3,P57775,Q6ZLK0,rice,dietary,95,0.9279,0.9202,408,435,114.0,85.0
FBXW4,Split-hand/foot malformation 3,P57775,Q8S9J6,arabidopsis,dietary,95,0.9279,0.935,408,470,114.0,115.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,C0LGD8,arabidopsis,dietary,95,0.9158,0.9194,818,860,122.0,117.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,Q9SR05,arabidopsis,dietary,95,0.9158,0.901,818,846,122.0,118.0
SOHLH1,Spermatogenic failure 32; Ovarian dysgenesis 5,Q5JUK2,Q6K439,rice,dietary,95,0.9361,0.9374,324,315,108.0,104.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,Q0IU52,rice,dietary,95,0.9285,0.9209,392,406,130.0,103.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,O65457,arabidopsis,dietary,95,0.9285,0.9318,392,390,130.0,72.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,Q9LFW3,arabidopsis,dietary,95,0.9285,0.9264,392,427,130.0,134.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,P37546,bacillus,microbial,95,0.9285,0.9362,392,403,130.0,157.0
CDC40,Pontocerebellar hypoplasia 15,O60508,Q7G959,arabidopsis,dietary,95,0.9174,0.9212,575,549,118.0,97.0
TLR3,"Immunodeficiency 83, susceptibility to viral infections",O15455,I1Z695,rice,dietary,95,0.9204,0.9188,900,982,86.0,85.0
DLL3,"Spondylocostal dysostosis 1, autosomal recessive",Q9NYJ7,A2ZNT5,rice,dietary,95,0.9226,0.918,614,633,103.0,98.0
OTUD7A,Neurodevelopmental disorder with hypotonia and seizures,Q8TE49,C0LGD7,arabidopsis,dietary,95,0.9457,0.9362,922,949,164.0,180.0
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,Q67VR7,rice,dietary,95,0.9156,0.9226,324,369,89.0,73.0
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,P40506,yeast,dietary,95,0.9156,0.909,324,361,89.0,116.0
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,Q9LSI7,arabidopsis,dietary,95,0.9156,0.9145,324,313,89.0,95.0
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,Q9LY23,arabidopsis,dietary,95,0.9156,0.9142,324,282,89.0,63.0
SPACA1,Spermatogenic failure 85,Q9HBV2,P11746,yeast,dietary,95,0.9206,0.9214,290,282,84.0,58.0
SPACA1,Spermatogenic failure 85,Q9HBV2,P47205,pseudomonas,microbial,95,0.9206,0.9157,290,299,84.0,69.0
DBH,Orthostatic hypotension 1,P09172,Q9FYG4,arabidopsis,dietary,95,0.9282,0.9378,613,611,106.0,137.0
PLD3,Spinocerebellar ataxia 46,Q8IV08,O65431,arabidopsis,dietary,95,0.9256,0.9294,486,500,96.0,70.0
PLD3,Spinocerebellar ataxia 46,Q8IV08,P25819,arabidopsis,dietary,95,0.9256,0.9204,486,488,96.0,156.0
AMBN,Amelogenesis imperfecta 1F,Q9NP70,Q940I0,arabidopsis,dietary,95,0.9295,0.9292,443,435,109.0,126.0
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",Q9UBV7,F4I6E6,arabidopsis,dietary,95,0.9471,0.9378,323,333,94.0,128.0
TLE6,Oocyte/zygote/embryo maturation arrest 15,Q9H808,P46945,yeast,dietary,95,0.9212,0.9115,568,550,96.0,52.0
DLL1,Neurodevelopmental disorder with non-specific brain abnormalities and with or without seizures,O00548,Q6K2M1,rice,dietary,95,0.9245,0.9183,719,686,72.0,84.0
CFI,"Hemolytic uremic syndrome, atypical, 3; Complement factor I deficiency; Macular degeneration, age-related, 13",P05156,Q5ALW2,candida,microbial,95,0.9115,0.913,579,608,73.0,90.0
ILDR1,"Deafness, autosomal recessive, 42",Q86SU0,Q94FL7,arabidopsis,dietary,95,0.912,0.903,542,519,70.0,69.0
ELFN1,Dursun-Ozgul neurodevelopmental syndrome,P0C7U0,Q655R6,rice,dietary,95,0.921,0.9195,824,820,94.0,92.0
ELFN1,Dursun-Ozgul neurodevelopmental syndrome,P0C7U0,Q8RWZ5,arabidopsis,dietary,95,0.921,0.927,824,817,94.0,82.0
THOC6,Beaulieu-Boycott-Innes syndrome,Q86W42,P0AEE3,ecoli,microbial,95,0.9181,0.9088,337,351,77.0,47.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,Q5NB85,rice,dietary,95,0.9294,0.9201,807,695,99.0,128.0
TM2D3,Alzheimer disease,Q9BRN9,K7UPS5,maize,dietary,95,0.9139,0.9166,243,256,69.0,64.0
TM2D3,Alzheimer disease,Q9BRN9,P39310,ecoli,microbial,95,0.9139,0.9199,243,208,69.0,82.0
TM2D3,Alzheimer disease,Q9BRN9,P50733,bacillus,microbial,95,0.9139,0.9162,243,255,69.0,60.0
CD19,"Immunodeficiency, common variable, 3",P15391,Q59X67,candida,microbial,95,0.9186,0.9142,552,546,59.0,75.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q02917,soybean,dietary,95,0.9213,0.9234,212,183,56.0,52.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q6I544,rice,dietary,95,0.9213,0.9269,212,217,56.0,54.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q9S772,arabidopsis,dietary,95,0.9213,0.9258,212,223,56.0,53.0
WFDC2,Bronchiectasis and nasal polyposis,Q14508,Q9ZV52,arabidopsis,dietary,95,0.9365,0.9432,120,126,53.0,38.0
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q9C519,arabidopsis,dietary,95,0.9242,0.9178,573,549,70.0,80.0
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q6Z9A3,rice,dietary,95,0.9135,0.9028,356,357,43.0,42.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q6ESF0,rice,dietary,95,0.9214,0.9292,229,225,52.0,58.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q6K5P8,rice,dietary,95,0.9214,0.9381,229,219,52.0,46.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q6YZA1,rice,dietary,95,0.9214,0.9281,229,220,52.0,63.0
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q69XV9,rice,dietary,95,0.9288,0.9265,247,256,49.0,59.0
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q6AWX7,rice,dietary,95,0.9288,0.9262,247,232,49.0,68.0
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,O82081,arabidopsis,dietary,95,0.9288,0.9198,247,257,49.0,51.0
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,Q69XV9,rice,dietary,95,0.9234,0.9265,230,256,44.0,59.0
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,Q9LQI7,arabidopsis,dietary,95,0.9234,0.9095,230,223,44.0,31.0
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,Q2FYN7,staph,microbial,95,0.9234,0.9161,230,235,44.0,51.0
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,O82081,arabidopsis,dietary,95,0.9258,0.9198,294,257,45.0,51.0
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,P0AEE3,ecoli,microbial,95,0.9267,0.9088,336,351,47.0,47.0
PPIB,Osteogenesis imperfecta 9,P23284,Q7F731,rice,dietary,95,0.926,0.9206,212,212,45.0,34.0
PPIB,Osteogenesis imperfecta 9,P23284,Q9S772,arabidopsis,dietary,95,0.926,0.9258,212,223,45.0,53.0
PON1,Microvascular complications of diabetes 5,P27169,P0AEE3,ecoli,microbial,95,0.925,0.9088,351,351,40.0,47.0
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q6YZA9,rice,dietary,95,0.9144,0.9064,228,217,30.0,29.0
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q6ZCR3,rice,dietary,95,0.9144,0.9072,228,220,30.0,35.0
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q851J9,rice,dietary,95,0.9144,0.9101,228,225,30.0,20.0
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q942A8,rice,dietary,95,0.9144,0.9074,228,219,30.0,29.0
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q9M8X6,arabidopsis,dietary,95,0.9144,0.9166,228,223,30.0,38.0
ASIP,Obesity and hypopigmentation,P42127,A0MH06,rice,dietary,95,0.9352,0.9297,128,118,35.0,41.0
CDC40,Pontocerebellar hypoplasia 15,O60508,P38915,yeast,dietary,93,0.9174,0.9154,575,598,118.0,90.0
CDC40,Pontocerebellar hypoplasia 15,O60508,Q5EAH9,arabidopsis,dietary,93,0.9174,0.9157,575,574,118.0,111.0
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,Q8GYJ2,arabidopsis,dietary,93,0.9331,0.9352,237,240,98.0,82.0
ARL3,Joubert syndrome 35; Retinitis pigmentosa 83,P36405,P67246,salmonella,microbial,93,0.922,0.9175,178,179,91.0,104.0
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,P43063,candida,microbial,93,0.9156,0.9076,324,313,89.0,88.0
TLE6,Oocyte/zygote/embryo maturation arrest 15,Q9H808,F4I4K5,arabidopsis,dietary,93,0.9212,0.9299,568,577,96.0,137.0
CFI,"Hemolytic uremic syndrome, atypical, 3; Complement factor I deficiency; Macular degeneration, age-related, 13",P05156,Q08023,yeast,dietary,93,0.9115,0.9052,579,579,73.0,54.0
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q9LZK5,arabidopsis,dietary,93,0.9135,0.9048,356,342,43.0,57.0
LFNG,"Spondylocostal dysostosis 3, autosomal recessive",Q8NES3,Q66GS2,arabidopsis,dietary,93,0.9213,0.9186,375,367,52.0,45.0
ADAM22,Developmental and epileptic encephalopathy 61,Q9P0K1,O24585,maize,dietary,92,0.95,0.9463,902,897,471.0,333.0
TBXT,Neural tube defects; Chordoma; Sacral agenesis with vertebral anomalies,O15178,B1B534,rice,dietary,92,0.9622,0.9597,431,471,278.0,302.0
CNNM4,Jalili syndrome,Q6P4Q7,P77455,ecoli,microbial,92,0.9384,0.9357,771,677,258.0,281.0
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,Q6Y9P5,rice,dietary,92,0.9347,0.942,563,591,296.0,359.0
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,A0A1D8PKB4,candida,microbial,92,0.9347,0.9376,563,491,296.0,215.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q43127,arabidopsis,dietary,92,0.9393,0.9433,440,426,242.0,177.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q7CR08,salmonella,microbial,92,0.9393,0.9341,440,449,242.0,198.0
BUD13,Achalasia-progeroid syndrome,Q9BRD0,Q12310,yeast,dietary,92,0.9195,0.9128,615,695,193.0,187.0
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,P53751,yeast,dietary,92,0.9417,0.9342,1155,1112,183.0,181.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q9FMX6,arabidopsis,dietary,92,0.9157,0.9134,426,461,213.0,242.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q9SNB1,arabidopsis,dietary,92,0.9157,0.9058,426,447,213.0,161.0
CBLIF,Hereditary intrinsic factor deficiency,P27352,Q9ZUY6,arabidopsis,dietary,92,0.9201,0.9122,413,385,217.0,167.0
MPEG1,Immunodeficiency 77,Q2M385,O31488,bacillus,microbial,92,0.9321,0.9264,712,699,172.0,124.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,P39083,yeast,dietary,92,0.9201,0.9132,1038,1003,171.0,159.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q5NB85,rice,dietary,92,0.914,0.9201,662,695,160.0,128.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,O49505,arabidopsis,dietary,92,0.914,0.9126,662,579,160.0,114.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q8H1H9,arabidopsis,dietary,92,0.914,0.9052,662,708,160.0,227.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,P9WI37,tuberculosis,microbial,92,0.9249,0.9348,627,641,173.0,128.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,Q9LQE3,arabidopsis,dietary,92,0.923,0.9302,538,589,186.0,245.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,P25819,arabidopsis,dietary,92,0.929,0.9204,471,488,175.0,156.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,O80809,arabidopsis,dietary,92,0.9195,0.9293,753,716,182.0,198.0
FAM20C,Raine syndrome,Q8IXL6,P06115,yeast,dietary,92,0.9289,0.9261,580,558,139.0,172.0
CHRNA4,"Epilepsy, nocturnal frontal lobe, 1",P43681,Q9LXA5,arabidopsis,dietary,92,0.931,0.9152,623,647,147.0,195.0
PRKCH,Ischemic stroke,P24723,Q8L7I2,arabidopsis,dietary,92,0.9153,0.9084,679,774,125.0,127.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q6I5Y0,rice,dietary,92,0.9298,0.9336,532,515,148.0,112.0
TNFRSF10B,Squamous cell carcinoma of the head and neck,O14763,Q84SN3,rice,dietary,92,0.9265,0.9216,436,429,133.0,168.0
TNFRSF10B,Squamous cell carcinoma of the head and neck,O14763,Q9FLF7,arabidopsis,dietary,92,0.9265,0.9269,436,441,133.0,144.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,Q8ZNH6,salmonella,microbial,92,0.9264,0.9182,833,824,145.0,120.0
FBXW4,Split-hand/foot malformation 3,P57775,Q93W34,arabidopsis,dietary,92,0.9279,0.9278,408,411,114.0,168.0
ZNF341,"Hyper-IgE syndrome 3, autosomal recessive, with recurrent infections",Q9BYN7,P13134,yeast,dietary,92,0.9135,0.9047,850,810,104.0,117.0
SLITRK1,Trichotillomania,Q96PX8,O80809,arabidopsis,dietary,92,0.9315,0.9293,692,716,109.0,198.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q93Z24,arabidopsis,dietary,92,0.9163,0.9065,692,693,116.0,96.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,P25856,arabidopsis,dietary,92,0.9336,0.928,386,392,127.0,161.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,Q9M439,arabidopsis,dietary,92,0.9336,0.9212,386,384,127.0,120.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,Q3EBM5,arabidopsis,dietary,92,0.9285,0.9259,392,443,130.0,93.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,Q9M8Z8,arabidopsis,dietary,92,0.9285,0.9358,392,412,130.0,135.0
SYN1,"Epilepsy, X-linked 1, with variable learning disabilities and behavior disorders; Intellectual developmental disorder, X",P17600,Q5NB85,rice,dietary,92,0.9187,0.9201,701,695,108.0,128.0
CDC40,Pontocerebellar hypoplasia 15,O60508,Q0DKP4,rice,dietary,92,0.9174,0.9091,575,589,118.0,96.0
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,Q5A0Y2,candida,microbial,92,0.9331,0.9137,237,244,98.0,107.0
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,P19624,ecoli,microbial,92,0.9156,0.8966,324,325,89.0,68.0
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,P69797,ecoli,microbial,92,0.9156,0.9131,324,319,89.0,90.0
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,Q9HXC4,pseudomonas,microbial,92,0.9156,0.909,324,307,89.0,122.0
SPACA1,Spermatogenic failure 85,Q9HBV2,Q51564,pseudomonas,microbial,92,0.9206,0.9165,290,272,84.0,89.0
DBH,Orthostatic hypotension 1,P09172,Q8VXX5,arabidopsis,dietary,92,0.9282,0.9208,613,585,106.0,70.0
PLD3,Spinocerebellar ataxia 46,Q8IV08,F4K5K4,arabidopsis,dietary,92,0.9256,0.9283,486,481,96.0,107.0
CD40,Immunodeficiency with hyper-IgM 3,P25942,Q9PHM1,campylobacter,microbial,92,0.9341,0.9307,273,271,107.0,164.0
HNRNPH2,"Intellectual developmental disorder, X-linked, syndromic, Bain type",P55795,Q9SJR5,arabidopsis,dietary,92,0.9237,0.9187,445,394,86.0,63.0
DCT,"Albinism, oculocutaneous, 8",P40126,Q8L7B2,arabidopsis,dietary,92,0.9384,0.9278,515,493,83.0,111.0
